部分,考试类型,问题类型,问答对,筛选后三元组
中考中招,中考中招,考试篇,问：网上评卷是如何进行的？答：网上评卷前，由高速扫描仪将考生书写的答卷电子图像存入计算机。其中，选择题由计算机根据考生的填涂自动判分，直接给出得分；非选择题按题块切割成一张张图片。评卷时，计算机将分块的答题图片随机发送到评卷教师的电脑屏幕上，一切过程都在计算机网络系统上进行。每一题均由两位教师背对背评阅，两位教师的评分误差在规定范围内，即取平均值，若超出规定范围，则计算机再将试题发送给第三位教师评阅，以此类推，直至误差控制在设定范围内。网上评卷提高了评卷质量，使评分更加公平、公正。网上评卷使答卷的保管、传送、登分、加分等步骤一并在计算机网络上进行，做到安全可靠。,"['(网上评卷, 使用, 高速扫描仪)', '(高速扫描仪, 存入, 答卷电子图像)', '(答卷电子图像, 存储于, 计算机)', '(计算机, 自动判分, 选择题)', '(非选择题, 按题块切割成, 图片)', '(题块, 切割成, 图片)', '(计算机, 发送, 分块答题图片)', '(分块答题图片, 随机发送至, 评卷教师)', '(评卷教师, 评阅, 分块答题图片)', '(评分误差, 超出, 规定范围)', '(第三位教师, 评阅, 试题)', '(网上评卷, 提高, 评卷质量)', '(网上评卷, 包含步骤, 传送)', '(网上评卷, 包含步骤, 登分)', '(网上评卷, 包含步骤, 加分)', '(网上评卷, 实现, 安全可靠)']"
中考中招,中考中招,志愿篇,问：往届初中毕业生、结业生或外省市初中毕业生可以填报的中招志愿和本市应届初三毕业生一样吗？答：符合中招报名资格的往届初中毕业生、结业生或外省市初中毕业生不能填报名额分配到校志愿，此外，非上海户籍学生不能填报中本贯通志愿。,"['(结业生, 不能填报, 名额分配到校招生录取志愿)', '(外省市初中毕业生, 不能填报, 名额分配到校招生录取志愿)', '(非上海户籍学生, 不能填报, 中本贯通志愿)']"
中考中招,中考中招,志愿篇,问：往届初中毕业生、结业生或外省市初中毕业生综评40分如何赋分？相关问题向哪个机构咨询？答：请向报名所在区教育行政部门或招考机构咨询。,"['(外省市初中毕业生, 需咨询, 综评40分如何赋分)', '(往届初中毕业生综评40分赋分咨询问题, 咨询, 报名所在区教育行政部门或招考机构)']"
中考中招,中考中招,志愿篇,问：中招分成几个招生批次？答：本市中招录取分三个批次进行，依次为：自主招生录取、名额分配综合评价录取、统一招生录取。,[]
中考中招,中考中招,志愿篇,问：高中阶段学校志愿填报在什么时候进行？答：本市高中阶段学校招生志愿填报统一在初中学业水平考试后、成绩发布前进行。（注：以上为2023年中招相关规定）,"['(考生填报志愿, 之后进行, 初中学业水平考试)', '(考生填报志愿, 之前, 成绩发布)', '(中考中招, 规定年份, 2023年)']"
中考中招,中考中招,志愿篇,问：志愿填报集中时间有几次？答：有两次。第一次是自主招生录取志愿填报（含中职校招收随迁子女志愿填报）；第二次是名额分配综合评价录取和统一招生录取志愿填报。（注：以上为2023年中招相关规定）,"['(注：虽然表面看似可保留, 但通过政策背景分析可知该三元组存在事实性错误, 故应删除)', '(中考中招志愿篇, 依据, 2023年中招相关规定)']"
中考中招,中考中招,志愿篇,问：两次的志愿填报时间以及确认时间？答：可查看“上海招考热线”网站（www.shmeea.edu.cn）首页—中招中考—志愿填报栏目发布的“20XX年上海市高中阶段学校招生录取志愿填报即将开始”“20XX年上海市高中学校自主招生录取志愿填报即将开始”“20XX年上海市中等职业学校自主招生志愿填报即将开始”“20XX年上海市中职校招收随迁子女志愿填报即将开始”等公告。注：2023年自主招生录取志愿填报时间在7月2日10:00至7月3日15:00 ，确认时间是在7月4日。2023年名额分配综合评价录取和统一招生录取志愿填报时间在6月21日-24日（每天9:00-22:00）、6月25日9:00-15:00，确认时间是在6月26日至6月27日。注：以上为2023年中招填报志愿时间，具体政策以当年度发布的实施细则文件为准。,"['(上海市自主招生录取志愿填报时间, 年份, 2023年)', '(2023年中招填报志愿时间, 依据, 2023年发布的实施细则文件)']"
中考中招,中考中招,志愿篇,问：跨区报名的应届初三学生如何填报志愿？答：跨区报名的应届初三学生可通过“上海招考热线”网站填报各批次录取志愿。跨区学生完成网上志愿填报后，在学籍所在学校学生本人及家长（监护人）进行志愿书面确认。,"['(跨区报名的应届初三学生, 填报, 志愿)', '(跨区报名的应届初三学生, 通过, 上海市教育考试院报名网站)', '(跨区报名的应届初三学生, 填报, 各批次录取志愿)', '(跨区报名的应届初三学生, 学籍归属, 学籍所在学校)']"
中考中招,中考中招,志愿篇,问：本市户籍的往届生、返沪生如何填报志愿？答：可通过“上海招考热线”网站填报各批次志愿，在报名区招考机构学生本人及家长（监护人）进行志愿书面确认。,[]
中考中招,中考中招,志愿篇,问：自主招生录取志愿有哪些？答：自主招生录取志愿包括：市实验性示范性高中、市特色普通高中自主招生录取志愿，市级优秀体育学生、艺术骨干学生自主招生录取志愿，国际课程班和中外合作办学高中自主招生录取志愿以及中职校自主招生录取志愿。,"['(自主招生录取志愿, 包括, 市实验性示范性高中自主招生录取志愿)', '(自主招生录取志愿, 包括, 市特色普通高中自主招生录取志愿)', '(自主招生录取志愿, 包括, 市级优秀艺术骨干学生自主招生录取志愿)', '(自主招生录取志愿, 包括, 国际课程班和中外合作办学高中自主招生录取志愿)', '(自主招生录取志愿, 包括, 中外合作办学高中自主招生录取志愿)', '(自主招生录取志愿, 包括, 中职校自主招生录取志愿)']"
中考中招,中考中招,志愿篇,问：中职校自主招生有哪些类别？答：中本教育贯通培养模式（简称“中本贯通”）、五年一贯制培养模式（简称“五年一贯制”）和中高职教育贯通培养模式（简称“中高职贯通”）、中职校提前招生（需面试或测试的专业）。,"['(中职校自主招生, 包含, 中本教育贯通培养模式)', '(中职校自主招生, 包含, 五年一贯制培养模式)', '(中职校自主招生, 包含, 中高职教育贯通培养模式)', '(中本教育贯通培养模式, 简称, 中本贯通)', '(五年一贯制培养模式, 简称, 五年一贯制)', '(中高职教育贯通培养模式, 简称, 中高职贯通)', '(中职校提前招生, 包含, 需面试或测试的专业)']"
中考中招,中考中招,志愿篇,问：名额分配综合评价录取志愿有哪些？答：名额分配综合评价录取志愿分为“名额分配到区”和“名额分配到校”两个类别，可兼报。,"['(名额分配综合评价录取志愿, 分为, 名额分配到区和名额分配到校)', '(名额分配综合评价录取志愿, 分为, 名额分配到区和名额分配到校)', '(名额分配到区, 可兼报, 名额分配到校)']"
中考中招,中考中招,志愿篇,问：统一招生录取志愿有哪些？答：统一招生录取志愿包括“1至15志愿”和征求志愿。通过相关资格确认的区级优秀体育学生、艺术骨干学生可在“区级优秀体育学生、艺术骨干学生”志愿栏内填报1个志愿，录取规则由各区教育行政部门自行制定。,"['(统一招生录取志愿, 包括, 1至15志愿和征求志愿)', '(统一招生录取志愿, 包括, 1至15志愿和征求志愿)', '(区级优秀体育学生, 可填报志愿数量, 1个)', '(区级优秀艺术骨干学生, 可填报, 艺术骨干学生志愿栏)', '(各区教育行政部门, 制定, 录取规则)']"
中考中招,中考中招,志愿篇,问：各招生批次可以填报多少个志愿？答：市实验性示范性高中、市特色普通高中自主招生可合计填报2个志愿，志愿不分先后；市级优秀体育学生、艺术骨干学生自主招生可合计填报2个志愿，志愿不分先后。填报该志愿的学生须是通过相关资格确认的市级优秀体育学生或艺术骨干学生，同时具备两类资格的学生可兼报；国际课程班和中外合作办学高中自主招生需在意向院校指定的网站上填报信息（已完成本市中招报名的预录取学生须根据招生学校要求在规定时间内进行预录取签约）；中本贯通可以填报2个平行志愿；五年一贯制和中高职贯通合计可以填报3个平行志愿；中职校提前招生可以填报4个平行志愿；名额分配到区招生可填报1个志愿；名额分配到校招生可填报2个平行志愿；区级优秀体育学生、艺术骨干学生招生合计可填报1个志愿；统一录取招生可填报15个平行志愿；征求志愿由各区招考机构负责；特殊教育高中阶段学校招生可填报1所市级学校、1所区级学校。,[]
中考中招,中考中招,志愿篇,问：什么是平行志愿？平行志愿投档录取原则是怎样的？答：平行志愿按照“分数优先，遵循志愿，一轮投档”的原则投档。分数优先指高分学生比低分学生排序在前，优先检索。遵循志愿指排序后，依照学生的志愿顺序依次检索，只要在学生的志愿中检索到符合投档条件的学校，即向该学校投档录取。一旦投档，学生之后的志愿自然失效。,"['(平行志愿, 投档原则, 分数优先)', '(平行志愿, 投档原则, 一轮投档)', '(高分学生, 分数优先于, 低分学生)']"
中考中招,中考中招,志愿篇,"问：填报志愿时,是否需要填满全部志愿？答：考生应根据自己的学业成绩、综合素质、身体条件、家庭经济状况，了解招生学校的类别、收费、住宿、交通、学制以及招生学校的一些特殊要求，结合自己的理想选填志愿，实现理想与能力的结合。填报志愿时，考生可以全部填写或部分填写。","['(考生, 根据, 学业成绩)', '(考生, 依据, 综合素质)', '(考生, 依据, 身体条件)', '(考生, 根据, 家庭经济状况)', '(考生, 了解, 招生学校类别)', '(考生, 了解, 招生学校收费)', '(考生, 了解, 招生学校的住宿)', '(考生, 了解, 招生学校的交通)', '(考生, 了解, 招生学校的学制)', '(考生, 了解, 招生学校的特殊要求)', '(招生学校, 有, 收费)', '(招生学校, 提供, 住宿)', '(招生学校, 有, 特殊要求)', '(考生, 可选择填报, 志愿)']"
中考中招,中考中招,志愿篇,问：怎么确定志愿填报是否完成？答：确认提交后，请清空浏览器缓存，关闭浏览器。然后重新打开网站进入志愿填报页面，确认上面已有的信息和之前填报的志愿（或导出的PDF内的信息）一致，则表示填报完成。,"['(考生填报志愿, 步骤包括, 确认提交)', '(志愿填报页面, 显示, 信息)']"
中考中招,中考中招,志愿篇,问：已填报的志愿可以更改吗？答：考生在网上志愿填报的规定时间内可修改填报信息，如若修改，以最后一次提交修改的志愿信息为准。志愿填报提交截止时间后，任何人不得修改或补报志愿。学生本人及家长（监护人）须在志愿确认表上完成签字确认，其网上填报的志愿方可生效。本市应届初三学生在学籍学校进行签字确认，往届生、返沪生在报名所在区招考机构进行签字确认，签字确认时不可更改任何志愿信息。,"['(考生, 可修改, 志愿信息)', '(签字确认, 使用, 志愿确认表)', '(本市应届初三学生, 签字确认地点, 学籍学校)', '(往届生, 签字确认地点, 报名所在区招考机构)', '(返沪生, 签字确认地点, 报名所在区招考机构)']"
中考中招,中考中招,志愿篇,问：已填报的志愿可以撤销吗？答：不可以。市、区招考机构不受理以任何理由提出的更改志愿、顺延志愿、放弃志愿和补填志愿等申请。,[]
中考中招,中考中招,志愿篇,问：已经查询到被志愿学校录取后是否可以放弃录取结果参加其他批次的志愿吗？答：不可以。考生被志愿学校录取后，不得放弃录取结果。也不再参与后续批次的录取工作。,"['(考生, 被录取, 志愿学校)', '(考生, 不得放弃, 录取结果)', '(考生, 不再参与, 后续批次的录取工作)']"
中考中招,中考中招,志愿篇,问：各招生类别的最低投档控制分数线是如何划定的？答：根据参加招生录取学生学业考试总成绩分布，各招生类别的计划数和学生志愿等情况，划定各招生类别在投档中的最低控制分数线。学业考试总成绩未达到相应类别最低投档控制分数线的学生，不能参加该招生类别的投档。最低投档控制分数线只是学校录取的“底线”，从历年的实际录取结果来看，大多数学校的实际录取分数线要比最低投档控制分数线高。,"['(最低投档控制分数线, 是, 学校录取的底线)', '(实际录取分数线, 高于, 最低投档控制分数线)', '(各招生类别, 划定, 最低投档控制分数线)']"
中考中招,中考中招,志愿篇,问：中招各批次控制分数线是多少？答：考生可查看“上海招考热线”网站（www.shmeea.edu.cn）“首页—中招中考—招生录取”栏目发布的“20XX年上海市高中阶段学校招生最低投档控制分数线确定”。注：以下图表为2023年上海市高中阶段学校各类别招生最低投档控制分数线。类别：普通高中自主招生录取；最低投档控制分数线：610分类别：普通高中名额分配综合评价录取；最低投档控制分数线：610分类别：普通高中公办普通高中统一招生录取；最低投档控制分数线：525分类别：普通高中民办普通高中统一招生录取；最低投档控制分数线：参照公办普通高中统一招生录取最低投档控制分数线，合理自主确定学校最低投档控制分数线，报区招生考试机构备案后，由招生考试机构统一向社会公布，并按招生计划投档录取。类别：中职校中本贯通录取；最低投档控制分数线：525分类别：中职校五年一贯制、中高职贯通录取；最低投档控制分数线：400分类别：中职校普通中专录取；最低投档控制分数线：360分类别：中职校职校、技校录取；最低投档控制分数线：按照招生学校的招生计划和考生志愿投档录取。,"['(普通高中自主招生录取, 最低投档控制分数线, 610)', '(普通高中名额分配综合评价录取, 最低投档控制分数线, 610)', '(普通高中公办普通高中统一招生录取, 最低投档控制分数线, 525)', '(普通高中民办普通高中统一招生录取, 最低投档控制分数线, 参照公办普通高中统一招生录取最低投档控制分数线, 合理自主确定学校最低投档控制分数线)', '(中职校中本贯通录取, 最低投档控制分数线, 525)', '(中职校五年一贯制、中高职贯通录取, 最低投档控制分数线, 400)', '(中职校普通中专录取, 最低投档控制分数线, 360)', '(中职校职校、技校录取, 最低投档控制分数线, 按照招生学校的招生计划和考生志愿投档录取)']"
中考中招,中考中招,志愿篇,问：民办高中的最低投档控制分数线怎么查询？答：考生可查看“上海招考热线”网站（www.shmeea.edu.cn）“首页—中招中考—招生录取”栏目发布的“2023年上海市民办高中最低投档控制分数线”。注：2023年民办高中最低投档分数线https://www.shmeea.edu.cn/download/20230726/01.pdf。,"['(上海招考热线网站, 发布, 2023年上海市民办高中最低投档控制分数线)']"
中考中招,中考中招,志愿篇,问：中招各批次的录取顺序？答：录取顺序依次为：市实验性示范性高中、市特色普通高中自主招生录取；市级优秀体育学生、艺术骨干学生自主招生录取；国际课程班和中外合作办学高中自主招生录取；中本贯通招生录取；五年一贯制和中高职贯通招生录取；中职校提前招生录取；名额分配到区招生录取；名额分配到校招生录取；区级优秀体育学生、艺术骨干学生招生录取；统一招生录取；征求志愿、民办高中国际课程班补录。,"['(市特色普通高中自主招生录取, 录取顺序早于, 市级优秀体育学生)', '(国际课程班和中外合作办学高中自主招生录取, 录取顺序早于, 中本贯通招生录取)', '(中本贯通招生录取, 录取顺序早于, 五年一贯制和中高职贯通招生录取)', '(五年一贯制和中高职贯通招生录取, 录取顺序早于, 中职校提前招生录取)', '(中职校提前招生录取, 录取顺序早于, 名额分配到区招生录取)', '(名额分配到区招生录取, 录取顺序早于, 名额分配到校招生录取)', '(区级艺术骨干学生招生录取, 录取顺序早于, 统一招生录取)', '(统一招生录取, 录取顺序早于, 征求志愿)', '(中考中招录取顺序, 包含阶段, 民办高中国际课程班补录)']"
中考中招,中考中招,志愿篇,问：什么是市实验性示范性高中？答：市实验性示范性高中分为委属市实验性示范性高中和区属市实验性示范性高中。委属市实验性示范性高中是指由上海市教育委员会直接或共同管理的市实验性示范性高中学校，其中继续试点“探索建立拔尖创新人才培养基地”项目的高中学校为：上海中学、华东师范大学第二附属中学、复旦大学附属中学、上海交通大学附属中学。区属市实验性示范性高中是指由区教育局管理的市实验性示范性高中学校。,[]
中考中招,中考中招,志愿篇,问：在哪查看所有的市实验性示范性高中？答：考生可查看“上海招考热线”网站（www.shmeea.edu.cn）“首页—中招中考—招生公示”栏目发布的“20XX年上海市高中招生学校名单”,"['(20XX年上海市高中招生学校名单, 包含, 市实验性示范性高中)', '(考生, 查看, 20XX年上海市高中招生学校名单)']"
中考中招,中考中招,志愿篇,问：什么是市特色普通高中？答：上海市特色普通高中是指能主动适应上海城市功能定位、社会和地域经济发展以及学生发展的需求，有惠及全体学生、较为成熟的特色课程体系及实施体系，并以此为基础形成稳定独特办学风格的普通高中学校（含完中、十二年一贯制、十五年一贯制学校的高中部）。,"['(上海市特色普通高中, 适应, 上海城市功能定位的需求)', '(上海市特色普通高中, 适应, 社会和地域经济发展的需求)', '(上海市特色普通高中, 主动适应, 学生发展的需求)', '(上海市特色普通高中, 具备, 特色课程体系及实施体系)', '(上海市特色普通高中, 形成, 稳定独特的办学风格)', '(上海市特色普通高中, 包括, 完中)', '(上海市特色普通高中, 包括, 十二年一贯制学校的高中部)', '(上海市特色普通高中, 包括, 十五年一贯制学校的高中部)']"
中考中招,中考中招,志愿篇,问：在哪查看所有的市特色普通高中？答：考生可查看“上海招考热线”网站（www.shmeea.edu.cn）“首页—中招中考—招生公示”栏目发布的“20XX年上海市高中招生学校名单”,[]
中考中招,中考中招,志愿篇,问：跨区报名的学生在哪里进行自主招生录取志愿的书面确认？答：跨区报名的学生在“上海招考热线”网站上完成自主招生录取志愿填报后，在学籍所在学校进行志愿书面确认。,"['(跨区报名的学生, 填报, 自主招生录取志愿)', '(自主招生录取志愿, 填报平台, 上海市教育考试院报名网站)', '(跨区报名的学生, 志愿书面确认地点, 学籍所在学校)']"
中考中招,中考中招,志愿篇,问：市实验性示范性高中、市特色普通高中自主招生的录取流程是怎么样的？答：市实验性示范性高中、市特色普通高中自主招生录取在学业考试后进行，自主招生计划不分区，根据公示的计划数，招生学校严格按照程序和时间，对学生综合能力、志趣特长等进行综合测试，并经校自主招生领导小组集体讨论后择优签约预录取。（1）一档多投。参加市实验性示范性高中、市特色普通高中自主招生的学生可以填报2个志愿，市教育考试院根据学生填报的志愿，同时向2个志愿学校进行投档。（2）综合测试。招生学校根据学校的办学理念和特色拟定本校的自主招生方案，并事先公示。招生学校确定综合测试人选后，通知学生参加综合测试，全面衡量考查学生素质，优先选择具有学科特长、创新潜质的学生。（3）预录取网上签约。招生学校确认拟预录取学生名单后，通知学生在规定时间内到招生学校现场，凭学生本人的报名号和网上填报志愿时使用的密码进行预录取签约。学生一旦与某所学校签约，就无法再与其他学校重复签约。招生学校预录取签约的人数不得大于招生学校本类别自主招生计划数。预录取工作结束后，所有被预录取的学生名单在“上海招考热线”网站上公示，接受社会监督。如填报的2个志愿均未被预录取，则进入后续录取批次。（4）录取。学业考试成绩公布后，预录取学生学业考试总成绩如未达到市统一划定的高中自主招生录取最低投档控制分数线，则不予正式录取。,"['(市实验性示范性高中, 执行, 自主招生)', '(市特色普通高中, 进行, 自主招生)', '(学生, 填报, 志愿)', '(市教育考试院, 投档, 招生学校)', '(招生学校, 拟定, 自主招生计划)', '(学生, 参加, 综合测试)', '(预录取签约, 需要, 报名号)', '(拟预录取名单, 被公示于, 上海市教育考试院报名网站)', '(考试成绩, 达到, 本市自主招生最低投档控制分数线)', '(预录取签约人数, 不得超过, 自主招生计划数)', '(一档多投, 属于, 自主招生录取流程)', '(综合测试, 综合评估, 学生素质)', '(招生学校, 综合评估后确定, 综合测试人选)', '(校自主招生领导小组, 决定, 预录取签约)']"
中考中招,中考中招,志愿篇,问：哪些高中学校可以招收市级优秀体育学生？答：按照《上海市教育委员会上海市体育局关于公布本市学校体育“一条龙”人才培养体系首批布局项目及做好相关建设发展等工作的通知》（沪教委体〔2021〕37号）公布的学校和项目。文件内符合要求的中学校可在全市范围内招收对口项目的市级优秀体育学生，具体请参照招生学校当年度发布的招生方案。注：《上海市教育委员会上海市体育局关于公布本市学校体育“一条龙”人才培养体系首批布局项目及做好相关建设发展等工作的通知》（沪教委体〔2021〕37号）文件可查看：http://edu.sh.gov.cn/cmsres/ea/ea65adc3b9dd4e868d15010b5d51822e/f4931340aea21ed980979bdec0cf0501.doc；《上海市教育委员会 上海市体育局关于做好2023年本市高中阶段学校招收优秀体育学生工作的通知》（沪教委体〔2023〕9号）文件可查看：http://edu.sh.gov.cn/cmsres/d0/d0c494990f764a22943f9d4647079d65/1d7e625fad95d19993f0b4b6af43f54c.doc。,"['(符合要求的中学校, 招收, 市级优秀体育学生)', '(符合要求的中学校, 招生范围, 全市范围)', '(招生学校, 发布, 招生方案)']"
中考中招,中考中招,志愿篇,问：市级优秀体育学生报名条件是什么？答：市级优秀体育学生须是具有2023年本市中招报名资格并完成报名，且具备以下条件之一的学生：（1）自2020年9月1日起获得市教育、体育行政部门认可，并与招生学校项目对口的市级及以上体育比赛集体项目前6名的主力队员或个人项目前5名的学生《2023年上海市市级优秀体育学生市级体育赛事认定目录》参见《上海市教育委员会上海市体育局关于做好2023年本市高中阶段学校招收优秀体育学生工作的通知》（沪教委体〔2023〕9号）。（2）自2020年9月1日起获得本市由各区教育、体育行政部门举办并与招生学校项目对口的区级体育比赛集体项目第1名的主力队员或个人项目第1名的学生（须填写《2023年上海市高中阶段学校市级优秀体育学生区级赛事报考资格认定表》），并经毕业学校报区教育、体育行政部门同意）。报名学生须填写《2023年上海市高中阶段学校市级优秀体育学生资格确认报名表》，并经毕业学校公示5个工作日。,"['(市级优秀体育学生, 报名条件包括, 具有2023年本市中招报名资格并完成报名)', '(市级优秀体育学生, 需满足条件, 自2020年9月1日起获得与招生项目对口的市级及以上体育比赛集体项目前6名或个人项目前5名)', '(市级及以上体育比赛, 列入, 2023年上海市市级优秀体育学生市级体育赛事认定目录)', '(市级优秀体育学生, 需填写, 2023年上海市高中阶段学校市级优秀体育学生资格确认报名表)', '(区级赛事资格, 需提交, 2023年上海市高中阶段学校市级优秀体育学生区级赛事报考资格认定表)', '(报名学生, 需经过, 毕业学校公示5个工作日)']"
中考中招,中考中招,志愿篇,问：哪些高中学校可以招收市级艺术骨干学生？答：按照《上海市教育委员会关于公布本市学校艺术“一条龙”人才培养体系首批布局项目及做好相关建设发展等工作的通知》（沪教委体〔2021〕34号）公布的学校和项目。文件内符合要求的学校可在全市范围内招收市级艺术骨干学生，具体请参照招生学校当年度发布的招生方案。注：《上海市教育委员会关于公布本市学校艺术“一条龙”人才培养体系首批布局项目及做好相关建设发展等工作的通知》（沪教委体〔2021〕34号）文可查看：http://edu.sh.gov.cn/cmsres/a8/a8c7f944868342fcafd299435dbd6946/60f036220a59d3352a1b423e17645fde.doc；《上海市教育委员会关于做好2023年本市高中阶段学校招收艺术骨干学生工作的通知》（沪教委体〔2023〕7号）文件可查看：http://edu.sh.gov.cn/cmsres/dd/dd6b044e531542e3b83400c930ab6d3c/2d87111c3a5bdde9656a855bf1947f7e.doc。,[]
中考中招,中考中招,志愿篇,问：市级艺术骨干学生报名条件是什么？答：市级艺术骨干学生须是具有2023年本市中招报名资格并完成报名的应届初中毕业生，且当年度被评为上海市学生艺术团各分团队优秀团员（可推荐优秀团员的市级学生艺术团名单见下页表），团籍档案完整、连续团龄2年及以上的学生，经所在艺术团、学籍学校、学籍所在区教育行政部门及上海市科技艺术教育中心认定后，方能取得艺术骨干学生报名资格。,"['(市级艺术骨干学生, 报名条件包括, 具有2023年本市中招报名资格并完成报名)', '(市级艺术骨干学生, 必须为, 具有2023年本市中招报名资格并完成报名的应届初中毕业生)', '(市级艺术骨干学生, 被评为, 上海市学生艺术团各分团队优秀团员)', '(上海市学生艺术团各分团队优秀团员, 要求, 连续团龄2年及以上)', '(上海市学生艺术团各分团队优秀团员, 需经认定, 学籍所在区教育行政部门)', '(市级艺术骨干学生, 取得, 市级艺术骨干学生报名资格)']"
中考中招,中考中招,志愿篇,问：市级优秀体育学生、艺术骨干学生自主招生的录取流程是怎么样的？答：市级优秀体育学生、艺术骨干学生自主招生录取在学业考试后进行，该类别自主招生计划合计不低于全市市实验性示范性高中、市特色普通高中自主招生计划总数的15%，招生计划由市级相关部门根据各区和学校项目申报情况、项目发展需要、项目特点等进行总体统筹评估后下达。（1）资格确认。符合市级优秀体育学生、艺术骨干学生报名条件的学生，须在学业考试前到对口项目的招生学校进行资格确认。通过招生学校资格确认的学生，方可填报相应的自主招生志愿。（2）一档多投。通过市级优秀体育学生、艺术骨干学生相关资格确认的学生可填报2个志愿（体育类和艺术类可以兼报）。市教育考试院根据学生填报的志愿同时向2个志愿学校进行投档，由学校根据学生情况进行预录取。（3）综合测试。招生学校通知学生参加综合测试。有关要求由招生学校通过自主招生方案事先公示。（4）预录取网上签约。经学校招生领导小组讨论后确定拟预录取名单，招生学校通知拟预录取学生在规定时间内到招生学校现场，凭学生本人的报名号和网上填报志愿时使用的密码进行预录取签约。学生一旦与某所学校签约，就无法与其他学校重复签约。招生学校按计划数足额进行预录取签约，签约的人数不得大于学校本类别自主招生计划数。预录取工作结束后，所有被预录取的学生名单在“上海招考热线”网站上公示，接受社会监督。如填报的2个志愿均未被预录取，则进入后续录取批次。（5）录取。学业考试成绩公布后，预录取的市级优秀体育学生的学业考试总成绩须达到本市自主招生最低投档控制分数线方可被正式录取；预录取的市级艺术骨干学生的学业考试总成绩须达到招生学校自主设定的最低投档控制分数线（不低于本市自主招生最低投档控制分数线）方可被正式录取。,"['(市级优秀体育学生, 需通过, 招生学校资格确认)', '(艺术骨干学生, 必须通过, 资格确认)', '(资格确认, 发生地点, 招生学校)', '(自主招生计划, 统筹评估并下达, 市级相关部门)', '(市特色普通高中, 拥有, 自主招生计划)', '(一档多投, 允许填报, 2个自主招生志愿)', '(市教育考试院, 投档至, 招生学校)', '(招生学校, 组织, 综合测试)', '(学校招生领导小组, 确定, 拟预录取名单)', '(拟预录取名单, 公示于, 上海招考热线网站)', '(市级优秀体育学生的学业考试总成绩, 须达到, 本市自主招生最低投档控制分数线)', '(市级艺术骨干学生, 需满足, 招生学校自主设定的最低投档控制分数线)', '(预录取网上签约, 基于, 拟预录取名单)', '(市级优秀体育学生艺术骨干学生自主招生录取流程, 包含, 综合测试)', '(自主招生, 流程包含步骤, 预录取网上签约)']"
中考中招,中考中招,志愿篇,问：同时具备两类资格的学生是否可以同时填报市级优秀体育学生、艺术骨干学生自主招生录取志愿？答：可以。市级优秀体育学生、艺术骨干学生自主招生录取志愿合计2个志愿，志愿不分先后。,"['(自主招生录取志愿, 属于, 志愿篇)']"
中考中招,中考中招,志愿篇,问：什么是国际课程班和中外合作办学高中？答：为贯彻落实《上海市中长期教育改革和发展规划纲要（2010—2020年）》的要求，进一步扩大教育对外开放，借鉴国际课程经验，深化高中课程改革，上海从2013年起开展普通高中国际课程试点工作。开展试点工作的学校为本市全日制普通高中。试点工作引进的“国际课程”是指有关国家（地区）或国际组织设置的国民教育体系高中阶段或大学预科（先修）课程，不含语言类课程。同时，国家课程中的语文、思想政治、历史和地理4门课程均为必修课程。经学校申报、市教委评审通过，本市全日制普通高中开设的这些试点班被称为“高中国际课程班”。,"['(国际课程试点工作, 引进, 国际课程)', '(高中国际课程班, 属于, 上海市全日制普通高中)', '(国家课程, 包含, 语文)', '(国家课程, 包含, 思想政治)', '(国家课程, 包含, 历史)', '(国家课程, 包含, 地理)', '(国际课程班, 别称, 高中国际课程班)']"
中考中招,中考中招,志愿篇,问：哪里可以查看全部的通过审批国际课程班和中外合作办学高中名单？答：可查看“上海招考热线”网站（www.shmeea.edu.cn）“首页—中招中考—招生公示”栏目发布的“20XX年上海市高中国际课程班和中外合作办学学校招生计划”。,"['(中考中招, 包含, 志愿篇)', '(上海市教育考试院报名网站, 发布, 20XX年上海市高中国际课程班和中外合作办学学校招生计划)']"
中考中招,中考中招,志愿篇,问：报考国际课程班和中外合作办学高中的学生如何填报志愿？答：报考国际课程班和中外合作办学高中的学生不需要在“上海招考热线”网站填报志愿。学生可根据“上海招考热线”网站和招生学校网站上公示的学校招生方案，按招生学校规定的要求和时间在招生院校指定的网站上填报志愿。,"['(学生, 报考, 国际课程班)', '(招生方案, 公示在, 招生院校指定的网站)', '(学生, 填报志愿, 各院校官网)']"
中考中招,中考中招,志愿篇,问：报考国际课程班和中外合作办学高中的学生是否可以兼报其他两类高中自主招生录取志愿？答：报考国际课程班和中外合作办学高中的学生如果同时符合市实验性示范性高中、市特色普通高中自主招生和市级优秀体育学生、艺术骨干学生自主招生的条件，可以兼报这两类普通高中自主招生录取志愿，但只能与一所高中学校签约。,"['(市实验性示范性高中, 实施, 自主招生计划)', '(市特色普通高中, 提供, 自主招生录取志愿)', '(市级优秀体育学生自主招生, 属于, 自主招生计划)', '(艺术骨干学生自主招生, 属于, 自主招生计划)', '(报考国际课程班和中外合作办学高中的学生, 兼报, 两类普通高中自主招生录取志愿)']"
